FIA_NAME,INVENTORY_NAME,COMMENTS,FIA,INV
Anaptychia palmulata,Anaptychia palmulata,SAME,1,7
Bulbothrix coronata,Bulbothrix coronata,"OUT OF RANGE, MISIDENTIFICATION!",2,0
Candelaria concolor,Candelaria concolor,SAME,8,9
Canoparmelia,Canoparmelia,LIKELY MISIDENTIFICATION,1,0
Cetraria aurescens,Ahtiana aurescens,LIKELY MISIDENTIFICATION,2,0
Cetraria oakesiana,Usnocetraria oakesiana,NAME CHANGE,11,0
Cladonia bacillaris,Cladonia macilenta,LUMPED SUBSPECIES IN INVENTORY DATA,6,0
Cladonia caespiticia,Cladonia caespiticia,SAME,2,10
Cladonia chlorophaea,Cladonia chlorophaea,SAME,5,8
Cladonia coniocraea,Cladonia coniocraea,SAME,12,2
Cladonia cristatella,Cladonia cristatella,SAME,1,8
Cladonia cylindrica,Cladonia cylindrica,SAME,4,4
Cladonia decorticata,Cladonia decorticata,LIKELY MISIDENTIFICATION,1,0
Cladonia didyma,Cladonia didyma,SAME,1,2
Cladonia macilenta,Cladonia macilenta,SAME,9,9
Cladonia parasitica,Cladonia parasitica,SAME,3,11
Cladonia pleurota,Cladonia pleurota,SAME,1,9
Cladonia pyxidata,Cladonia pyxidata,SAME,1,5
Cladonia ramulosa,Cladonia ramulosa,SAME,2,8
Evernia mesomorpha,Evernia mesomorpha,SAME,1,6
Flavoparmelia,Flavoparmelia,SAME,1,1
Flavoparmelia baltimorensis,Flavoparmelia baltimorensis,SAME,1,10
Flavoparmelia caperata,Flavoparmelia caperata,SAME,14,11
Flavopunctelia flaventior,Flavopunctelia flaventior,SAME,4,3
Flavopunctelia soredica,Flavopunctelia soredica,LIKELY MISIDENTIFICATION,1,5
Heterodermia casarettiana,Heterodermia casarettiana,LIKELY MISIDENTIFICATION,1,0
Heterodermia obscurata,Heterodermia obscurata,SAME,1,6
Heterodermia speciosa,Heterodermia speciosa,SAME,1,6
Hyperphyscia adglutinata,Hyperphyscia adglutinata,SAME,1,0
Hypogymnia,Hypogymnia,SAME,1,1
Hypogymnia physodes,Hypogymnia physodes,SAME,9,10
Hypotrachyna croceopustulata,Hypotrachyna croceopustulata,"OUT OF RANGE, MISIDENTIFICATION!",1,0
Hypotrachyna showmanii,Hypotrachyna showmanii,SAME,4,8
Imshaugia aleurites,Imshaugia aleurites,SAME,4,9
Lobaria pulmonaria,Lobaria pulmonaria,SAME,1,1
Lobaria quercizans,Lobaria quercizans,SAME,1,1
Melanelia,Melanelia,SAME,1,1
Melanelixia subaurifera,Melanelixia subaurifera,SAME,11,9
Menegazzia terebrata,Menegazzia terebrata,LIKELY MISIDENTIFICATION,1,0
Myelochroa aurulenta,Myelochroa aurulenta,SAME,11,11
Myelochroa galbina,Myelochroa galbina,LIKELY MISIDENTIFICATION,1,0
Myelochroa obsessa,Myelochroa obsessa,SAME,2,7
Nodobryoria abbreviata,Nodobryoria abbreviata,OBVIOUS MISIDENTIFICATION,1,0
Parmelia,Parmelia,SAME,1,1
Parmelia saxatilis,Parmelia saxatilis,LIKELY MISIDENTIFICATION,1,0
Parmelia squarrosa,Parmelia squarrosa,SAME,5,8
Parmelia sulcata,Parmelia sulcata,SAME,13,11
Parmelinopsis horrescens,Hypotrachyna horrescens,LIKELY MISIDENTIFICATION,1,0
Parmeliopsis hyperopta,Parmeliopsis hyperopta,SAME,1,1
Parmotrema,Parmotrema,SAME,3,0
Parmotrema chinense,Parmotrema perlatum,LIKELY MISIDENTIFICATION,2,0
Parmotrema hypotropum,Parmotrema hypotropum,SAME,3,5
Parmotrema stuppeum,Parmotrema stuppeum,SAME,1,1
Phaeophyscia adiastola,Phaeophyscia adiastola,SAME,2,11
Phaeophyscia pusilloides,Phaeophyscia pusilloides,SAME,12,7
Phaeophyscia rubropulchra,Phaeophyscia rubropulchra,SAME,15,12
Physcia adscendens,Physcia adscendens,SAME,1,1
Physcia aipolia,Physcia aipolia,LIKELY MISIDENTIFICATION,1,0
Physcia americana,Physcia americana,SAME,1,1
Physcia millegrana,Physcia millegrana,SAME,15,11
Physcia stellaris,Physcia stellaris,SAME,7,8
Physciella chloantha,Physciella chloantha,SAME,3,1
Physconia detersa,Physconia detersa,SAME,4,4
Pseudevernia consocians,Pseudevernia consocians,SAME,1,5
Punctelia,Punctelia,SAME,1,1
Punctelia missouriensis,Punctelia missouriensis,LIKELY MISIDENTIFICATION,3,1
Punctelia perreticulata,Punctelia perreticulata,SAME,12,0
Punctelia rudecta,Punctelia rudecta,SAME,14,11
Pyxine caesiopruinosa,Pyxine caesiopruinosa,"OUT OF RANGE, MISIDENTIFICATION!",1,0
Pyxine sorediata,Pyxine sorediata,SAME,4,8
Rimelia,Parmotrema,NAME CHANGE,1,0
Umbilicaria mammulata,Umbilicaria mammulata,SAME,1,9
Usnea,Usnea,SAME,1,0
Usnea strigosa,Usnea strigosa,SAME,2,0
