"FIA_NAME","FIA","INV"
"Anaptychia palmulata",2,20
"Bulbothrix coronata",3,0
"Candelaria concolor",15,33
"Candelaria fibrosa",1,0
"Canoparmelia",1,0
"Cetraria oakesiana",36,0
"Cetrelia olivetorum",1,12
"Cladonia",1,0
"Cladonia caespiticia",4,20
"Cladonia chlorophaea",8,29
"Cladonia clavulifera",1,0
"Cladonia coniocraea",63,3
"Cladonia cristatella",3,18
"Cladonia cylindrica",5,5
"Cladonia decorticata",1,0
"Cladonia didyma",1,2
"Cladonia furcata",1,47
"Cladonia macilenta",32,70
"Cladonia parasitica",7,52
"Cladonia peziziformis",1,7
"Cladonia pleurota",1,34
"Cladonia pyxidata",1,12
"Cladonia ramulosa",3,20
"Cladonia rei",1,25
"Cladonia squamosa",1,62
"Evernia mesomorpha",4,14
"Flavoparmelia",5,0
"Flavoparmelia baltimorensis",1,60
"Flavoparmelia caperata",115,146
"Flavopunctelia flaventior",5,8
"Flavopunctelia soredica",6,16
"Heterodermia casarettiana",1,0
"Heterodermia obscurata",1,15
"Heterodermia speciosa",2,13
"Hyperphyscia adglutinata",1,0
"Hypogymnia",4,0
"Hypogymnia physodes",24,62
"Hypotrachyna croceopustulata",1,0
"Hypotrachyna horrescens",1,0
"Hypotrachyna showmanii",6,38
"Imshaugia aleurites",8,34
"Lobaria pulmonaria",1,1
"Lobaria quercizans",1,2
"Melanelia",1,0
"Melanelixia subaurifera",26,50
"Menegazzia subsimilis",1,0
"Myelochroa",3,0
"Myelochroa aurulenta",37,66
"Myelochroa galbina",2,0
"Myelochroa obsessa",3,19
"Nephromopsis aurescens",4,0
"Nodobryoria abbreviata",2,0
"Parmelia",9,0
"Parmelia saxatilis",2,0
"Parmelia squarrosa",9,72
"Parmelia sulcata",103,101
"Parmeliopsis hyperopta",1,2
"Parmotrema",6,0
"Parmotrema hypotropum",5,17
"Parmotrema perforatum",1,1
"Parmotrema perlatum",2,0
"Parmotrema stuppeum",1,1
"Phaeophyscia adiastola",2,27
"Phaeophyscia pusilloides",31,22
"Phaeophyscia rubropulchra",95,87
"Physcia",1,0
"Physcia adscendens",1,3
"Physcia aipolia",1,0
"Physcia americana",1,2
"Physcia millegrana",127,63
"Physcia stellaris",19,34
"Physciella chloantha",4,1
"Physconia detersa",5,8
"Pseudevernia consocians",1,8
"Punctelia",11,0
"Punctelia caseana",84,152
"Punctelia missouriensis",8,1
"Punctelia rudecta",57,133
"Pyxine sorediata",8,31
"Pyxine subcinerea",2,0
"Umbilicaria mammulata",1,45
"Usnea",1,0
"Usnea strigosa",2,0
